0,1,2
75.014999,46.68,196.800003
77.559998,47.029999,198.690002
76.970001,47.389999,199.149994
79.220001,48,204.185608
78.959999,48.830002,207.582413
78.190002,48.110001,203.520157
77.389999,47.09,196.716614
78,47.389999,197.024506
79.830002,46.650002,195.703522
80.870003,48.110001,199.736008
80.889999,48.990002,202.685852
82.196747,48.720001,199.924698
81.167183,47.25,193.975342
80.820702,47.670002,191.93924
81.127586,46.81538,191.502228
79.860435,47.918438,190.916229
78.880371,46.586819,188.969513
77.989403,47.461311,188.522568
76.276764,45.116074,184.529831
76.751945,45.404259,183.695541
77.524117,44.03289,183.735275
76.841049,42.154709,183.288315
79.038757,44.221703,191.243988
80.335617,44.728512,199.994232
81.147392,43.724827,198.494476
81.028595,44.688763,199.020889
80.682106,45.603008,201.553574
80.385117,45.652695,200.957657
80.008926,44.251514,197.590652
80.563309,44.599327,196.885452
80.781097,43.953388,195.39563
83.671799,44.519825,200.77887
85.64183,46.258881,208.992783
85.26564,46.735878,212.915985
84.483566,46.735878,211.744003
84.721161,47.829002,212.389587
85.285439,48.455059,214.296555
85.592331,47.799187,214.246902
84.948853,46.159508,210.750778
84.166779,46.994255,209.280823
84.909248,45.593071,208.684891
84.919151,45.414196,209.638382
85.631927,45.622883,209.211288
85.730927,46.616631,212.061813
84.315277,46.368195,214.862701
83.968788,46.904816,213.809891
83.780693,45.861385,211.674469
82.790726,45.811695,210.095245
82.572945,45.135944,208.10881
82.087852,45.255199,206.470016
81.493874,45.285011,207.63208
82.295746,44.649014,205.307953
82.028458,44.649014,210.343552
80.889999,46.010445,211.485748
81.008797,46.159508,211.128204
79.652542,46.964439,211.297058
80.54351,47.421566,210.393219
79.484253,47.660061,207.185135
79.365448,48.127125,209.489395
79.702042,47.938313,208.794144
80.048531,48.445122,209.032516
79.47435,48.266247,208.009491
79.593147,48.047623,206.916962
78.820976,47.361938,203.897568
78.286392,46.686192,201.374802
79.157562,46.755753,201.523788
78.038902,47.322189,202.934631
78.019096,46.209194,201.859222
77.474625,46.805439,202.026947
77.217232,46.875,200.42865
76.16787,47.163189,198.69223
77.524117,47.819061,197.833893
77.771606,48.146999,197.162994
78.622978,48.544495,199.254593
78.702179,49.826427,202.036819
79.103928,49.647552,204.365204
79.633041,49.389183,205.776047
78.565002,48.991684,203.931091
78.584595,49.021492,204.513199
78.300438,48.873333,202.776779
78.770775,48.211552,204.276413
79.86821,47.510254,209.47583
80.093575,47.105278,202.372269
80.269951,47.095402,204.641449
82.543221,51.520473,205.174225
81.906303,51.787163,201.642181
81.337997,51.54023,197.99173
79.760429,51.668636,196.176392
79.760429,51.27354,199.244736
80.358139,51.342682,198.899429
80.563911,51.085869,199.491379
80.652092,51.115501,199.363129
80.828461,51.372314,198.41597
81.63195,51.579739,198.485046
81.024445,51.708141,196.649963
80.926453,50.572247,195.031921
81.974907,51.520473,198.781021
81.230217,51.224155,197.84375
80.6717,50.740158,194.81488
80.652092,50.127762,194.696472
80.583504,48.863457,193.206711
80.113174,49.584507,192.900879
81.063637,49.10051,194.084793
80.318939,48.646152,193.344833
80.064178,48.162159,192.308899
79.015732,49.061001,193.946671
78.133858,50.088253,193.177109
79.740829,51.856304,193.867737
78.084869,51.550106,192.900879
78.829552,52.804535,195.426559
79.074524,52.281033,196.719025
79.192108,52.567478,201.434982
79.035332,54.434303,202.224274
80.240555,54.859035,200.902237
79.86821,54.355286,202.14534
80.75988,54.147861,202.174942
81.426178,53.85154,202.372269
81.916107,54.375042,203.822571
81.210617,55.194866,202.322937
80.407127,56.330765,201.129135
79.054924,55.836891,198.504776
79.339081,56.133221,198.366653
80.18177,56.380154,196.916351
79.603645,54.523201,194.587952
79.858406,54.997318,196.018524
76.840446,54.641727,193.117935
77.124611,54.760258,196.363846
78.653183,54.07872,196.738754
80.495316,54.533081,196.008667
79.99559,53.782394,196.304642
80.622696,53.653992,199.057266
79.662445,52.844044,196.294785
80.230759,54.137985,197.676041
80.367928,53.970066,196.186264
80.14257,53.258892,198.342041
80.18177,54.226883,201.62471
79.642845,53.999699,201.036774
79.2705,54.305901,200.909393
77.534149,53.673748,199.331726
75.749298,52.972454,197.685501
75.40979,52.676132,196.235245
74.594971,52.13287,195.353348
74.245766,51.342682,191.747299
74.497978,51.372147,190.591019
74.643478,52.373859,191.100586
75.419487,50.694511,190.483246
75.458298,51.784611,192.178467
78.436272,52.098877,193.128967
77.117043,50.45882,194.843796
76.001503,50.527565,197.087784
77.184944,50.183838,211.541336
76.632019,50.606129,213.373749
77.039436,51.28376,214.45163
76.845436,52.648842,215.10817
75.982117,52.58009,215.666718
76.185814,51.460529,213.324738
75.50679,50.930214,211.188583
74.90538,51.774796,212.07048
75.109085,50.183838,210.022491
74.75988,50.350792,212.619217
72.625816,48.661629,208.53302
72.625816,47.915257,207.984283
73.741348,49.476749,214.275253
72.625816,49.093739,213.187561
72.771324,48.858044,211.982285
71.025276,48.042923,208.346848
72.373619,51.146271,215.10817
70.627563,48.710732,212.188049
71.490883,50.272221,211.531525
71.781898,51.539097,215.813721
70.705162,48.475037,211.031769
71.296883,49.918678,218.684814
72.790726,50.63559,229.434357
71.772202,50.625771,227.778305
71.927399,49.918678,226.906189
72.868324,50.252583,232.452454
72.189301,49.967785,231.129578
71.393883,50.930214,229.581329
72.296013,50.851646,232.79541
72.984734,50.59631,234.980606
72.325111,51.254295,236.499451
71.898308,49.830296,231.590149
